dataHora,ordem,linha,latitude,longitude,velocidade
09-24-2016 00:00:17,A29183,474,"-22.868299","-43.29258",0
09-24-2016 00:12:33,B58031,,"-22.836809","-43.286449",0
09-24-2016 00:13:15,B58091,623,"-22.839689","-43.28233",64
09-24-2016 00:13:58,A29105,209,"-22.867849","-43.29121",0
09-24-2016 00:14:08,A29117,474,"-22.868139","-43.292068",0
09-24-2016 00:14:18,A29137,474,"-22.868429","-43.292198",0
09-24-2016 00:14:53,A29189,474,"-22.86833","-43.292782",0
09-24-2016 00:17:01,B58145,625,"-22.83831","-43.284451",44
09-24-2016 00:17:52,A55049,464,"-22.906509","-43.260311",0
09-24-2016 00:26:15,A29155,474,"-22.86809","-43.291882",0
09-24-2016 00:26:34,B58113,628,"-22.8367","-43.286041",36
09-24-2016 00:33:20,B58106,623,"-22.83736","-43.28653",20
09-24-2016 00:33:56,A29153,474,"-22.86809","-43.29158",0
09-24-2016 00:35:22,A29031,102,"-22.86824","-43.292931",0
09-24-2016 00:41:01,D53658,,"-22.88386","-43.495789",0
09-24-2016 00:53:49,B10195,,"-22.815113","-43.186905",0
09-24-2016 00:57:14,B58016,623,"-22.83699","-43.286572",24
09-24-2016 00:59:24,D53564,369,"-22.88402","-43.494911",0
09-24-2016 01:05:48,D53717,,"-22.883869","-43.494942",0
09-24-2016 01:07:06,B10065,922,"-22.824373","-43.170387",12
09-24-2016 01:07:46,A71510,217,"-22.930346","-43.254505",0
09-24-2016 01:10:30,B10071,SV901,"-22.814838","-43.187214",0
09-24-2016 01:13:36,D53715,,"-22.884279","-43.495979",0
09-24-2016 01:20:41,D53627,,"-22.88452","-43.495682",0
09-24-2016 01:22:04,D53927,,"-22.88356","-43.496029",0
09-24-2016 01:22:26,D87057,,"-22.918079","-43.608459",0
09-24-2016 01:22:35,A27565,218,"-22.920271","-43.256401",0
09-24-2016 01:30:08,D53744,,"-22.884291","-43.496181",0
09-24-2016 01:37:46,D53706,,"-22.88373","-43.495369",0
09-24-2016 01:38:14,D53579,759,"-22.88426","-43.495499",0
09-24-2016 01:40:58,A29040,461,"-22.867901","-43.29277",18
09-24-2016 01:41:24,B25555,232,"-22.902031","-43.298359",0
09-24-2016 01:42:20,D87334,830,"-22.918961","-43.60844",0
09-24-2016 01:46:47,D53913,,"-22.884171","-43.49577",0
09-24-2016 01:48:19,A27588,432,"-22.920971","-43.256451",0
09-24-2016 01:50:57,D53733,,"-22.88455","-43.495289",0
09-24-2016 02:01:28,B58022,622,"-22.837179","-43.28569",10
